Name,Date,Location,Type,Region
Circa:Humans 2.0,2/15/2024 through 2/17/2024|Meany Center for the Performing Arts,2/15/2024 through 2/17/2024,Theatre,University District
Gage Alumni Show,Now through 1/28/2024|Fountainhead Gallery,Now through 1/28/2024,Visual Arts & Galleries,Queen Anne / Seattle Center
Wreckno,2/23/2024|The Showbox,2/23/2024,Music,Downtown
Not Available,with Palmer Anthony,share,Not Available,Not Available
Not Available,Top Results,,Not Available,Not Available
Culture is Living,Ongoing|Burke Museum,Ongoing,Museums,University District
The Human Family,2/29/2024|LANGSTON Seattle,2/29/2024,Music,Capitol Hill / Central District
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center
Art Walk Edmonds | Every Third Thursday,Ongoing|Cascadia Art Museum,Ongoing,Visual Arts & Galleries,North
Not Available,Top Results,,Not Available,Not Available
Not Available,Top Results,,Not Available,Not Available
Joe “Mr. D”  Dombrowski,2/10/2024|The Moore Theatre,2/10/2024,Theatre,Downtown
"Car, The Garden",1/29/2024|The Crocodile,1/29/2024,Music,Downtown
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024|MoPOP Museum of Pop Culture,Now through 8/31/2024,Museums,Queen Anne / Seattle Center
Not Available,With HAARPER and  Germ,share,Not Available,Not Available
Meet the Animals,Ongoing|Woodland Park Zoo,Ongoing,Museums,Wallingford / Greenlake
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024|Benaroya Hall,6/6/2024 through 6/9/2024,Music,Downtown
FRAKTURED: Home of the Broken Beat,1/31/2024|High Dive,1/31/2024,Music,Fremont / Ballard
Amazing Life,Ongoing|Burke Museum,Ongoing,Museums,University District
Metropolis,1/25/2024 through 1/27/2024|Benaroya Hall,1/25/2024 through 1/27/2024,Music,Downtown
Mother,5/17/2024|415 Westlake,5/17/2024,Music,Queen Anne / Seattle Center
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024|Henry Art Gallery,5/24/2024 through 6/30/2024,Museums,University District
Maritime Seattle,Ongoing|Museum of History & Industry,Ongoing,Museums,Queen Anne / Seattle Center
Harold and the Purple Crayon,3/23/2024 through 3/30/2024|Marion Oliver McCaw Hall,3/23/2024 through 3/30/2024,Dance,Queen Anne / Seattle Center
Seattle Kraken vs. Minnesota Wild,2/24/2024|Climate Pledge Arena,2/24/2024,Sports,Queen Anne / Seattle Center
Kenzan Tsutakawa-Chinn: Gather,Ongoing|Seattle Asian Art Museum,Ongoing,Museums,Capitol Hill / Central District
Not Available,Top Results,,Not Available,Not Available
Global Rhythms: Yungchen Lhamo,1/26/2024|Town Hall Seattle,1/26/2024,Music,Downtown
"Wu Han, Philip Setzer & David Finckel",2/20/2024|Meany Center for the Performing Arts,2/20/2024,Music,University District
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024|National Nordic Museum,Now through 1/28/2024,Museums,Fremont / Ballard
Not Available,Top Results,,Not Available,Not Available
Beetlejuice,4/2/2024 through 4/7/2024|The Paramount Theatre,4/2/2024 through 4/7/2024,Theatre,Downtown
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024|Benaroya Hall,2/25/2024 through 2/27/2024,Readings & Lectures,Downtown
Eric Bellinger,2/8/2024|The Showbox,2/8/2024,Music,Downtown
Deities and Demons: Supernatural in Japanese Art,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown
Pioneer Square First Thursday Art Walk,Ongoing|Pioneer Square,Ongoing,Visual Arts & Galleries,Pioneer Square
Not Available,Not Available,Not Available,Not Available,Not Available
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024|Town Hall Seattle,2/7/2024,Readings & Lectures,Downtown
Nobody Lives Here,Now through 3/17/2024|Wing Luke Museum,Now through 3/17/2024,Museums,International District
Baird’s beaked whale,Ongoing|Burke Museum,Ongoing,Museums,University District
Criminal,2/5/2024|The Moore Theatre,2/5/2024,Theatre,Downtown
Seattle Boat Show,2/2/2024 through 2/10/2024|Lumen Field,2/2/2024 through 2/10/2024,Festivals & Special Events,Pioneer Square
The Budos Band,1/27/2024|The Showbox,1/27/2024,Music,Downtown
Shelf Nunny,1/26/2024|Barboza,1/26/2024,Music,Capitol Hill / Central District
Meet our Marine Mammals,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown
EventSubmission,1. Submit easily via email,[email protected],Not Available,Not Available
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024|Magnuson Park,4/13/2024 through 4/14/2024,Festivals & Special Events,University District
Northwest Native Art,Ongoing|Burke Museum,Ongoing,Museums,University District
Emerald City Comic Con,2/29/2024 through 3/3/2024|Seattle Convention Center,2/29/2024 through 3/3/2024,Festivals & Special Events,Downtown
Mahogany – smARTfilms: Black Luxury,2/20/2024|Bainbridge Island Museum of Art,2/20/2024,Film & Media Arts,West
Olivia Rodrigo,8/6/2024 through 8/7/2024|Climate Pledge Arena,8/6/2024 through 8/7/2024,Music,Queen Anne / Seattle Center
Explore The Market,Ongoing|Pike Place Market,Ongoing,Festivals & Special Events,Downtown
Underwater Dome,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown
Seattle Kraken vs. Nashville Predators,3/16/2024|Climate Pledge Arena,3/16/2024,Sports,Queen Anne / Seattle Center
Jazz is Dead: Blue Note 85,2/1/2024|The Neptune Theatre,2/1/2024,Music,University District
Reverberations: Contemporary Art and Modern Classics,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown
Not Available,with DMSR,share,Not Available,Not Available
Lukas Nelson,2/20/2024|The Showbox,2/20/2024,Music,Downtown
Not Available,Top Results,,Not Available,Not Available
Dungeons and Drag Queens,1/26/2024|The Crocodile,1/26/2024,Theatre,Downtown
Brazilian Carnaval 2024,2/10/2024|The Crocodile,2/10/2024,Music,Downtown
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing|Tacoma Art Museum,Ongoing,Museums,South
LeMay – America’s Car Museum,Ongoing|LeMay - America's Car Museum,Ongoing,Museums,South
BabyTron,2/1/2024|The Showbox,2/1/2024,Music,Downtown
Memoir,2/2/2024|Benaroya Hall,2/2/2024,Music,Downtown
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024|Town Hall Seattle,2/8/2024,Readings & Lectures,Downtown
DRUM TAO 30th Anniversary,4/22/2024|Benaroya Hall,4/22/2024,Music,Downtown
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024|Wing Luke Museum,Now through 7/28/2024,Museums,International District
Colorworks,1/25/2024|Nectar Lounge,1/25/2024,Music,Fremont / Ballard
Jahari Stampley,1/30/2024 through 1/31/2024|Dimitriou's Jazz Alley,1/30/2024 through 1/31/2024,Music,Downtown
Scared to Death: The Thrill of Horror Film,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center
Not Available,Top Results,,Not Available,Not Available
Emanuel Brown,1/25/2024|Chop Suey,1/25/2024,Music,Capitol Hill / Central District
Dan Brown Wild Symphony,2/24/2024|Benaroya Hall,2/24/2024,Music,Downtown
Born With Teeth,2/1/2024 through 2/25/2024|ArtsWest Playhouse and Gallery,2/1/2024 through 2/25/2024,Theatre,West Seattle
Not Available,with Mike Dillon & Punkadelick,share,Not Available,Not Available
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024|Wing Luke Museum,Now through 5/12/2024,Museums,International District
Not Available,Not Available,Not Available,Not Available,Not Available
Rootabaga Country,3/8/2024 through 3/17/2024|Opera Center,3/8/2024 through 3/17/2024,Music,Queen Anne / Seattle Center
Native Portraiture: Power and Perception,Now through 3/17/2024|Tacoma Art Museum,Now through 3/17/2024,Museums,South
Compania Nacional de Danza,1/25/2024 through 1/27/2024|Meany Center for the Performing Arts,1/25/2024 through 1/27/2024,Dance,University District
The Human Family,1/27/2024|Opera Center,1/27/2024,Music,Queen Anne / Seattle Center
"Once More, Just For You",2/5/2024 through 2/25/2024|Seattle Public Theater,2/5/2024 through 2/25/2024,Theatre,Wallingford / Greenlake
Not Available,Top Results,,Not Available,Not Available
Soja,2/6/2024|The Neptune Theatre,2/6/2024,Music,University District
Window on Washington Waters,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown
Lip Sync for Our Rights,6/22/2024 through 6/23/2024|Marion Oliver McCaw Hall,6/22/2024 through 6/23/2024,Music,Queen Anne / Seattle Center
West Seattle Farmers Market – Sundays,Ongoing|West Seattle Farmers Market,Ongoing,Festivals & Special Events,West Seattle
Eliades Ochoa,2/13/2024|The Moore Theatre,2/13/2024,Music,Downtown
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024|Seattle Art Museum,Now through 4/14/2024,Museums,Downtown
Art and Life Along the Northwest Coast,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024|Benaroya Hall,4/12/2024 through 4/13/2024,Music,Downtown
Tropical Pacific,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown
The Lower Depths,2/6/2024 through 2/24/2024|Erickson Theatre,2/6/2024 through 2/24/2024,Theatre,Capitol Hill / Central District
Aryana Leon,1/25/2024|Barboza,1/25/2024,Music,Capitol Hill / Central District
Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024|Seattle Convention Center,2/14/2024 through 2/18/2024,Festivals & Special Events,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Top Results,,Not Available,Not Available
Infinite Worlds of Science Fiction,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center
Seattle Kraken vs. Montreal Canadiens,3/24/2024|Climate Pledge Arena,3/24/2024,Sports,Queen Anne / Seattle Center
Pacific Species,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown
Sergio Mendes,2/1/2024 through 2/4/2024|Dimitriou's Jazz Alley,2/1/2024 through 2/4/2024,Music,Downtown
Not Available,Top Results,,Not Available,Not Available
James Miles,1/25/2024|Town Hall Seattle,1/25/2024,Readings & Lectures,Downtown
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024|Frye Art Museum,1/27/2024 through 5/5/2024,Museums,Capitol Hill / Central District
Kazu Kibuishi with Donna Barba Higuera,2/6/2024|Town Hall Seattle,2/6/2024,Readings & Lectures,Downtown
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing|Wing Luke Museum,Ongoing,Museums,International District
Seattle Kraken vs. Winnipeg Jets,3/8/2024|Climate Pledge Arena,3/8/2024,Sports,Queen Anne / Seattle Center
Small Island Big Song,2/24/2024|Meany Center for the Performing Arts,2/24/2024,Music,University District
Savor Seattle Signature Tour: Pike Place Market,Ongoing|Pike Place Market,Ongoing,Tours & Attractions,Downtown
Untold Stories: World War II at 75,Ongoing|The Museum of Flight,Ongoing,Museums,South Seattle
Great Hall of Washington History,Ongoing|Washington State History Museum,Ongoing,Museums,South
Bohemia,Now through 1/28/2024|The Triple Door,Now through 1/28/2024,Theatre,Downtown
Cheryl Wheeler,1/30/2024|The Triple Door,1/30/2024,Music,Downtown
Gov’t Mule,2/9/2024|The Moore Theatre,2/9/2024,Music,Downtown
Sanctuary City,3/1/2024 through 3/31/2024|Seattle Rep,3/1/2024 through 3/31/2024,Theatre,Queen Anne / Seattle Center
Positive Fragmentation,Now through 3/10/2024|Bellevue Arts Museum,Now through 3/10/2024,Museums,Bellevue / Eastside
Seattle Kraken vs. St. Louis Blues,1/26/2024|Climate Pledge Arena,1/26/2024,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Dallas Stars,3/30/2024|Climate Pledge Arena,3/30/2024,Sports,Queen Anne / Seattle Center
Barber Violin Concerto,5/16/2024 through 5/18/2024|Benaroya Hall,5/16/2024 through 5/18/2024,Music,Downtown
Washington: My Home,Ongoing|Washington State History Museum,Ongoing,Museums,South
Not Available,with David Ardila,share,Not Available,Not Available
Discover Ancient Coast Salish Culture,Ongoing|Hibulb Cultural Center,Ongoing,Museums,North
Quixote Nuevo,Now through 2/11/2024|Seattle Rep,Now through 2/11/2024,Theatre,Queen Anne / Seattle Center
Sophia Al-Maria,Now through 1/31/2024|Henry Art Gallery,Now through 1/31/2024,Museums,University District
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024|accesso ShoWare Center,1/27/2024,Sports,South
Chihuly Garden and Glass,Ongoing|Chihuly Garden and Glass,Ongoing,Museums,Queen Anne / Seattle Center
Guitar Gallery,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Museums,Queen Anne / Seattle Center
Not Available,Top Results,,Not Available,Not Available
Antonio M. Gomez: LINEAJES,Now through 3/10/2024|Frye Art Museum,Now through 3/10/2024,Museums,Capitol Hill / Central District
Deb Perelman,1/25/2024|Town Hall Seattle,1/25/2024,Readings & Lectures,Downtown
Sensory-Friendly Programs,Ongoing|MoPOP Museum of Pop Culture,Ongoing,Festivals & Special Events,Queen Anne / Seattle Center
Madeline Pendleton,1/25/2024|Elliott Bay Book Company,1/25/2024,Readings & Lectures,Capitol Hill / Central District
Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024|Marion Oliver McCaw Hall,2/2/2024 through 2/11/2024,Dance,Queen Anne / Seattle Center
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024|Benaroya Hall,2/8/2024 through 2/10/2024,Music,Downtown
Seattle Kraken vs. Arizona Coyotes,4/9/2024|Climate Pledge Arena,4/9/2024,Sports,Queen Anne / Seattle Center
Tacoma Stars vs. San Diego Sockers,1/28/2024|accesso ShoWare Center,1/28/2024,Sports,South
A/political Rocks,Now through 1/31/2024|Henry Art Gallery,Now through 1/31/2024,Museums,University District
Not Available,Top Results,,Not Available,Not Available
Mayer Hawthorne,2/9/2024|The Neptune Theatre,2/9/2024,Music,University District
Kenny Barron Trio,2/6/2024 through 2/7/2024|Dimitriou's Jazz Alley,2/6/2024 through 2/7/2024,Music,Downtown
K. Wayne Yang,2/13/2024|Town Hall Seattle,2/13/2024,Readings & Lectures,Downtown
Sibelius & Nielsen,3/14/2024 through 3/16/2024|Benaroya Hall,3/14/2024 through 3/16/2024,Music,Downtown
John Grade: Middle Fork,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown
Barry Can’t Swim,2/9/2024|Neumos,2/9/2024,Music,Capitol Hill / Central District
Not Available,Not Available,Not Available,Not Available,Not Available
Unriveled,5/10/2024 through 6/2/2024|Seattle Public Theater,5/10/2024 through 6/2/2024,Theatre,Wallingford / Greenlake
Show Me Seattle Tours,"Ongoing|Seattle, WA",Ongoing,Tours & Attractions,Downtown
Not Available,Top Results,,Not Available,Not Available
Not Available,"with Zen Selekta, So Sus",share,Not Available,Not Available
Places to Call Home: Settlements in the West,Now through 3/17/2024|Tacoma Art Museum,Now through 3/17/2024,Museums,South
Calidore Quartet & Abeo Quartet,3/8/2024|415 Westlake,3/8/2024,Music,Queen Anne / Seattle Center
Seattle Kraken vs. Detroit Red Wings,2/19/2024|Climate Pledge Arena,2/19/2024,Sports,Queen Anne / Seattle Center
Luchadora!,2/22/2024 through 3/10/2024|Seattle Children's Theatre,2/22/2024 through 3/10/2024,Theatre,Queen Anne / Seattle Center
Nora En Pure,2/2/2024|Showbox SoDo,2/2/2024,Music,Pioneer Square
Fossils Uncovered,Ongoing|Burke Museum,Ongoing,Museums,University District
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024|National Nordic Museum,3/22/2024 through 7/21/2024,Museums,Fremont / Ballard
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Top Results,,Not Available,Not Available
Be/longing: Contemporary Asian Art,Ongoing|Seattle Asian Art Museum,Ongoing,Museums,Capitol Hill / Central District
Company,6/23/2024 through 6/28/2024|The Paramount Theatre,6/23/2024 through 6/28/2024,Music,Downtown
Seattle Museum Month,2/1/2024 through 2/29/2024|Downtown Seattle,2/1/2024 through 2/29/2024,Museums,Downtown
Capitol Hill Farmers Market – Sunday,Ongoing|Capitol Hill Farmers Market,Ongoing,Festivals & Special Events,Capitol Hill / Central District
Opera Talk: The Making of X,2/23/2024|Opera Center,2/23/2024,Readings & Lectures,Queen Anne / Seattle Center
Soren Solkaer: Sort Sol,Now through 3/10/2024|National Nordic Museum,Now through 3/10/2024,Museums,Fremont / Ballard
Not Available,Not Available,Not Available,Not Available,Not Available
Giant Pacific Octopus,Ongoing|Seattle Aquarium,Ongoing,Museums,Downtown
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024|Marion Oliver McCaw Hall,2/24/2024 through 3/9/2024,Music,Queen Anne / Seattle Center
The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024|Benaroya Hall,2/14/2024 through 2/18/2024,Music,Downtown
Fremont Sunday Market,Ongoing|Fremont Farmers Market,Ongoing,Festivals & Special Events,Fremont / Ballard
Antarctic Symphony,4/25/2024 through 4/28/2024|Benaroya Hall,4/25/2024 through 4/28/2024,Music,Downtown
Mahler Symphony No. 3,4/11/2024 through 4/14/2024|Benaroya Hall,4/11/2024 through 4/14/2024,Music,Downtown
Randy Rainbow for President,2/3/2024|The Paramount Theatre,2/3/2024,Theatre,Downtown
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024|National Nordic Museum,Now through 4/7/2024,Museums,Fremont / Ballard
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024|Climate Pledge Arena,2/29/2024,Sports,Queen Anne / Seattle Center
Not Available,Top Results,,Not Available,Not Available
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024|Benaroya Hall,5/12/2024 through 5/14/2024,Readings & Lectures,Downtown
Not Available,Top Results,,Not Available,Not Available
American Art: The Stories We Carry,Ongoing|Seattle Art Museum,Ongoing,Museums,Downtown
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024|Benaroya Hall,2/2/2024 through 2/3/2024,Music,Downtown
Illuminate: Glass Art for Early Learners,Now through 3/31/2024|Museum of Glass,Now through 3/31/2024,Museums,South
